"Order_ID","Product_ID","Product_Name","Category","Sub_Category","Product_Rating","Marketing_Channel","Quantity","Return_Status","Discount","Sales","Profit","Profit_Margin","Discount_Reason"
"CA-2016-101623","OFF-FA-10003495","Staples","Office Supplies","Fasteners","1.0","Referral","6","No","0.0","36.48","18.24","50.0","No Discount"
"CA-2017-154410","OFF-ST-10002743","SAFCO Boltless Steel Shelving","Office Supplies","Storage","4.0","Social Media","8","No","0.0","909.12","9.0912","1.0","No Discount"
"CA-2017-127306","OFF-BI-10003727","Avery Durable Slant Ring Binders With Label Holder","Office Supplies","Binders","4.0","Referral","2","Yes","0.7","2.508","-1.8392","-73.33333333333333","Clearance"
"CA-2016-126102","OFF-BI-10004318","Ibico EB-19 Dual Function Manual Binding System","Office Supplies","Binders","1.0","Direct","2","No","0.2","276.784","89.9548","32.5","Promo"
"CA-2016-101336","OFF-ST-10004258","Portable Personal File Box","Office Supplies","Storage","2.0","Ads","3","No","0.0","36.63","9.8901","27.0","No Discount"
"US-2016-162852","FUR-CH-10004853","Global Manager's Adjustable Task Chair, Storm","Furniture","Chairs","3.0","Direct","8","No","0.3","845.488","-12.0784","-1.4285714285714286","Bulk Deal"
"CA-2014-114251","OFF-ST-10003716","Tennsco Double-Tier Lockers","Office Supplies","Storage","5.0","Ads","6","No","0.2","1080.096","-94.5084","-8.75","Promo"
"CA-2016-136686","OFF-AP-10002350","Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector","Office Supplies","Appliances","3.0","Ads","3","No","0.0","56.52","15.8256","27.999999999999996","No Discount"
"CA-2014-104738","OFF-BI-10002160","Acco Hanging Data Binders","Office Supplies","Binders","3.0","Social Media","3","No","0.8","2.286","-3.6576","-160.0","Clearance"
"CA-2016-148852","FUR-CH-10004860","Global Low Back Tilter Chair","Furniture","Chairs","4.0","Direct","6","No","0.2","484.704","-84.8232","-17.5","Promo"
"CA-2017-107314","FUR-FU-10003489","Contemporary Borderless Frame","Furniture","Furnishings","1.0","Direct","3","No","0.0","25.83","9.5571","37.00000000000001","No Discount"
"CA-2016-108196","TEC-AC-10000926","NETGEAR RangeMax WNR1000 Wireless Router","Technology","Accessories","4.0","Direct","3","No","0.2","59.976","11.9952","20.0","Promo"
"CA-2017-102771","TEC-PH-10001536","Spigen Samsung Galaxy S5 Case Wallet","Technology","Phones","2.0","Social Media","5","No","0.0","84.95","22.087","26.0","No Discount"
"CA-2017-100237","OFF-AR-10001761","Avery Hi-Liter Smear-Safe Highlighters","Office Supplies","Art","4.0","Email","2","No","0.0","11.68","4.2048","36.0","No Discount"
"CA-2017-151799","OFF-SU-10001664","Acme Office Executive Series Stainless Steel Trimmers","Office Supplies","Supplies","3.0","Social Media","3","No","0.0","25.71","6.6846","25.999999999999996","No Discount"
"CA-2016-142594","FUR-FU-10002045","Executive Impressions 14""","Furniture","Furnishings","3.0","Direct","5","No","0.0","111.15","48.906","43.99999999999999","No Discount"
"US-2014-112872","OFF-ST-10002205","File Shuttle I and Handi-File","Office Supplies","Storage","2.0","Referral","3","Yes","0.2","53.424","4.6746","8.75","Promo"
"CA-2016-117590","TEC-PH-10004977","GE 30524EE4","Technology","Phones","3.0","Direct","7","No","0.2","1097.544","123.4737","11.249999999999998","Promo"
"CA-2014-164749","OFF-LA-10004484","Avery 476","Office Supplies","Labels","1.0","Referral","3","No","0.2","9.912","3.2214","32.49999999999999","Promo"
"CA-2014-151946","OFF-AP-10001626","Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags","Office Supplies","Appliances","4.0","Social Media","4","Yes","0.0","15.56","4.0456","26.0","No Discount"
"US-2014-166310","FUR-FU-10001546","Dana Swing-Arm Lamps","Furniture","Furnishings","4.0","Email","2","No","0.6","8.544","-7.476","-87.5","Clearance"
"US-2015-147662","OFF-BI-10002160","Acco Hanging Data Binders","Office Supplies","Binders","5.0","Email","2","No","0.7","2.286","-1.6764","-73.33333333333333","Clearance"
"CA-2015-143490","TEC-PH-10000576","AT&T 1080 Corded phone","Technology","Phones","4.0","Email","2","No","0.2","219.184","19.1786","8.75","Promo"
"CA-2016-111416","OFF-BI-10002026","Avery Arch Ring Binders","Office Supplies","Binders","4.0","Direct","5","No","0.2","232.4","78.435","33.75","Promo"
"CA-2017-141138","TEC-AC-10001772","Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive","Technology","Accessories","5.0","Social Media","7","No","0.0","111.79","43.5981","39.0","No Discount"
"CA-2016-113733","TEC-PH-10002496","Cisco SPA301","Technology","Phones","1.0","Ads","2","No","0.2","249.584","31.198","12.5","Promo"
